Package,Class,Method,Parameters,Cyclomatic Complexity
org.apache.commons.collections4,BagUtils,emptySortedBag,[],1
org.apache.commons.collections4.list,Cursor,close,[],2
org.apache.commons.collections4,MapUtils,synchronizedMap,[final Map<K, V> map],1
org.apache.commons.collections4.bloomfilter,IndexProducer,fromBitMapProducer,[final BitMapProducer producer],5
org.apache.commons.collections4.map,ReferenceBaseIterator,currentEntry,[],1
org.apache.commons.collections4.list,Cursor,nodeInserted,[final Node<E> node],3
org.apache.commons.collections4,CollectionUtils,union,[final Iterable<? extends O> a, final Iterable<? extends O> b],2
org.apache.commons.collections4.functors,FactoryTransformer,getFactory,[],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,followLeft,[TrieEntry<K, V> node],4
org.apache.commons.collections4.bloomfilter,Hasher,indices,[Shape shape],1
org.apache.commons.collections4.list,NodeCachingLinkedList,getMaximumCacheSize,[],1
org.apache.commons.collections4,Entry,getElement,[],1
org.apache.commons.collections4.set,UnmodifiableSortedSet,unmodifiableSortedSet,[final SortedSet<E> set],2
org.apache.commons.collections4,CollectionUtils,retainAll,[final Iterable<E> collection, final Iterable<? extends E> retain, final Equator<? super E> equator],3
org.apache.commons.collections4.trie,PrefixRangeMap,getFromKey,[],1
org.apache.commons.collections4.iterators,EmptyIterator,emptyIterator,[],1
org.apache.commons.collections4,OrderedBidiMap,inverseBidiMap,[],1
org.apache.commons.collections4.map,AbstractReferenceMap,resolve,[final int value],5
org.apache.commons.collections4.list,AVLNode,removeSelf,[],14
org.apache.commons.collections4.trie,AbstractPatriciaTrie,higherEntry,[final K key],12
org.apache.commons.collections4,ListUtils,getLast,[final List<T> list],1
org.apache.commons.collections4.multiset,AbstractMultiSet,uniqueElements,[],1
org.apache.commons.collections4,ArrayStack,empty,[],1
org.apache.commons.collections4,MultiValuedMap,mapIterator,[],1
org.apache.commons.collections4.properties,EmptyProperties,compute,[final Object key, final BiFunction<? super Object, ? super Object, ? extends Object> remappingFunction],1
org.apache.commons.collections4.splitmap,TransformedSplitMap,checkSetValue,[final U value],1
org.apache.commons.collections4,CollectionUtils,intersection,[final Iterable<? extends O> a, final Iterable<? extends O> b],2
org.apache.commons.collections4.functors,ChainedTransformer,chainedTransformer,[final Collection<? extends Transformer<? super T, ? extends T>> transformers],2
org.apache.commons.collections4.bidimap,TreeBidiMap,getGrandParent,[final Node<K, V> node, final DataElement dataElement],1
org.apache.commons.collections4.sequence,Snake,getDiag,[],1
org.apache.commons.collections4.iterators,ObjectArrayListIterator,add,[final E obj],1
org.apache.commons.collections4,IteratorUtils,singletonIterator,[final E object],1
org.apache.commons.collections4,SetOperationCardinalityHelper,list,[],1
org.apache.commons.collections4,FluentIterable,eval,[],1
org.apache.commons.collections4.map,AbstractHashedMap,addEntry,[final HashEntry<K, V> entry, final int hashIndex],1
org.apache.commons.collections4.functors,IfTransformer,getFalseTransformer,[],1
org.apache.commons.collections4.comparators,ComparatorChain,checkChainIntegrity,[],2
org.apache.commons.collections4,MapUtils,isNotEmpty,[final Map<?, ?> map],2
org.apache.commons.collections4.collection,Builder,createPredicatedMultiSet,[final MultiSet<E> multiset],1
org.apache.commons.collections4.trie,AbstractBitwiseTrie,lengthInBits,[final K key],2
org.apache.commons.collections4.iterators,LoopingListIterator,_reset,[],1
org.apache.commons.collections4.functors,NOPTransformer,nopTransformer,[],1
org.apache.commons.collections4,MapUtils,getIntValue,[final Map<? super K, ?> map, final K key, final int defaultValue],1
org.apache.commons.collections4.bloomfilter,ArrayCountingBloomFilter,asIndexArray,[],1
org.apache.commons.collections4.iterators,IteratorIterable,createTypesafeIterator,[final Iterator<? extends E> iterator],1
org.apache.commons.collections4.bloomfilter,SparseBloomFilter,getShape,[],1
org.apache.commons.collections4,MapUtils,getDouble,[final Map<? super K, ?> map, final K key, final Function<K, Double> defaultFunction],1
org.apache.commons.collections4.bloomfilter,Shape,getNumberOfHashFunctions,[],1
org.apache.commons.collections4.iterators,SkippingIterator,remove,[],2
