Elements
org.apache.commons.collections4.ArrayStack
Method: rotateRight; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 3
Method: doRedBlackInsert; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 4
Method: doRedBlackDelete; Parameter types : Node<K, V>; Cyclomatic Complexity: 1
Method: doRedBlackDeleteFixup; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 3
Method: swapPosition; Parameter types : Node<K, V>, Node<K, V>, DataElement; Cyclomatic Complexity: 8
Method: checkNonNullComparable; Parameter types : Object, DataElement; Cyclomatic Complexity: 2
Method: checkKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: checkValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: checkKeyAndValue; Parameter types : Object, Object; Cyclomatic Complexity: 1
Method: modify; Parameter types : ; Cyclomatic Complexity: 1
Method: grow; Parameter types : ; Cyclomatic Complexity: 1
Method: shrink; Parameter types : ; Cyclomatic Complexity: 1
Method: insertValue; Parameter types : Node<K, V>; Cyclomatic Complexity: 2
Method: doEquals; Parameter types : Object, DataElement; Cyclomatic Complexity: 5
Method: doHashCode; Parameter types : DataElement; Cyclomatic Complexity: 2
Method: doToString; Parameter types : DataElement; Cyclomatic Complexity: 3
Method: getMapIterator; Parameter types : DataElement; Cyclomatic Complexity: 3
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 2
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.UnmodifiableBidiMap
Method: unmodifiableBidiMap; Parameter types : BidiMap<? extends K, ? extends V>; Cyclomatic Complexity: 2
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: put; Parameter types : K, V; Cyclomatic Complexity: 1
Method: putAll; Parameter types : Map<? extends K, ? extends V>; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: entrySet; Parameter types : ; Cyclomatic Complexity: 1
Method: keySet; Parameter types : ; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 2
org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap
Method: unmodifiableOrderedBidiMap; Parameter types : OrderedBidiMap<? extends K, ? extends V>; Cyclomatic Complexity: 2
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: put; Parameter types : K, V; Cyclomatic Complexity: 1
Method: putAll; Parameter types : Map<? extends K, ? extends V>; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: entrySet; Parameter types : ; Cyclomatic Complexity: 1
Method: keySet; Parameter types : ; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseOrderedBidiMap; Parameter types : ; Cyclomatic Complexity: 2
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap
Method: unmodifiableSortedBidiMap; Parameter types : SortedBidiMap<K, ? extends V>; Cyclomatic Complexity: 2
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: put; Parameter types : K, V; Cyclomatic Complexity: 1
Method: putAll; Parameter types : Map<? extends K, ? extends V>; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: entrySet; Parameter types : ; Cyclomatic Complexity: 1
Method: keySet; Parameter types : ; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 2
Method: subMap; Parameter types : K, K; Cyclomatic Complexity: 1
Method: headMap; Parameter types : K; Cyclomatic Complexity: 1
Method: tailMap; Parameter types : K; Cyclomatic Complexity: 1
org.apache.commons.collections4.BidiMap
Method: put; Parameter types : K, V; Cyclomatic Complexity: 1
Method: getKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: getMaxCell; Parameter types : ; Cyclomatic Complexity: 1
Method: copy; Parameter types : ; Cyclomatic Complexity: 1
Method: characteristics; Parameter types : ; Cyclomatic Complexity: 1
Method: cardinality; Parameter types : ; Cyclomatic Complexity: 1
Method: add; Parameter types : CellProducer; Cyclomatic Complexity: 1
Method: subtract; Parameter types : CellProducer; Cyclomatic Complexity: 1
Method: isValid; Parameter types : ; Cyclomatic Complexity: 1
Method: forEachCell; Parameter types : CellProducer.CellConsumer; Cyclomatic Complexity: 2
Method: forEachIndex; Parameter types : IntPredicate; Cyclomatic Complexity: 2
Method: forEachBitMap; Parameter types : LongPredicate; Cyclomatic Complexity: 3
Method: add; Parameter types : int, int; Cyclomatic Complexity: 1
